ID,TLC,EOM,LEAF,Gaia,RAdeg,DEdeg,plx,Gmag,bp-rp
24757,22,17,,6048976762246802944,245.8847,-25.397,7.35,10.8,1.8
24758,22,-1,,6210357478333596544,233.4131,-28.0305,6.77,15.3,3.0
24759,22,-1,,6210378403414176128,233.685,-28.0048,10.85,16.4,3.6
24760,22,17,,6049013561526378368,246.2588,-24.9924,7.04,15.1,3.6
24761,22,17,A,6048883406837060992,244.5642,-24.9329,7.23,16.2,3.6
24762,22,17,C,6048981950567316096,245.8048,-25.301,6.07,16.2,3.9
24763,22,17,C,6048975624076529536,245.6939,-25.3692,6.09,15.9,3.2
24764,22,17,,6048939344491326464,246.432,-25.4112,7.28,16.0,3.7
24765,22,17,I,6049015313873042432,246.3112,-24.9354,7.38,13.2,2.7
24766,22,17,C,6049007857809810560,246.0477,-25.1213,6.24,16.0,3.3
24767,22,17,I,6048935358761628288,246.6168,-25.4467,7.29,13.3,2.5
24768,22,17,,6048968481549324800,245.7754,-25.5397,6.81,15.3,3.2
24769,22,17,I,6049006036743651456,246.2209,-25.0991,7.29,13.8,2.8
24770,22,17,,6048989131752646016,245.6473,-25.2651,6.5,16.4,4.1
24771,22,17,,6049016172866503936,246.2059,-24.9942,6.65,16.4,3.8
24772,22,17,,6048981950563533696,245.7977,-25.2934,7.23,15.8,3.7
24773,22,17,,6048993461079183488,245.5639,-25.1932,6.99,14.7,3.0
24776,22,17,,6048903438565051904,246.0288,-25.7539,6.21,16.8,3.5
24777,22,17,,6048982328524443136,245.7817,-25.2762,7.22,15.1,3.4
24778,22,17,I,6049011568661592192,246.1003,-24.9666,7.26,16.5,3.9
24781,22,-1,,6224999056211718272,226.887,-26.735,6.47,16.6,3.3
24782,22,27,,6055586579497835904,192.1343,-61.3175,9.08,16.8,3.6
24783,22,-1,,6258622946414178816,231.3366,-17.2183,7.63,13.3,2.4
24788,22,27,D,6125406255045171584,181.9222,-52.1561,8.92,17.5,3.9
24792,22,27,D,6125427042687416832,182.9117,-51.8172,8.56,13.9,2.5
24793,22,27,,6125391720875822080,182.0052,-52.22,8.95,16.2,3.6
24794,22,27,,6125408866384841216,182.2016,-51.9954,8.84,14.5,2.9
24795,22,-1,,5307763572749094272,147.3279,-55.3823,6.78,15.9,3.3
24811,22,22,,6008929078441569792,234.8376,-40.1372,7.18,13.9,2.4
24812,22,22,,6008909287232803328,237.8165,-37.4484,7.28,15.3,3.0
24818,22,-1,,6237871588586468608,232.375,-25.6991,6.96,15.6,2.9
24842,22,8,,6730415448806354944,280.7835,-36.9776,6.82,13.9,2.4
24846,22,20,,5907213738788377216,227.7266,-45.1533,6.8,14.2,2.5
24848,22,-1,,5907196524559044480,227.1557,-45.3121,6.35,14.0,2.4
24849,22,-1,,5483838986842111616,104.994,-58.0035,10.84,15.2,3.1
24850,22,20,,5907208584827270784,227.3136,-45.061,6.7,15.6,2.9
24853,22,-1,,5962349093026572800,265.051,-37.7063,8.09,13.7,2.7
24854,22,8,,6730406858871544704,280.5899,-37.1501,6.33,16.9,3.8
24856,22,-1,,6233037070321568128,236.522,-29.3482,7.14,12.8,2.0
24857,22,-1,,6233122179393464704,236.2501,-28.6827,6.76,13.0,2.5
24859,22,17,,6233053180738603776,235.921,-29.5561,7.42,14.9,2.9
24861,22,-1,,4342949919016992256,239.4009,-12.1938,6.68,16.4,3.6
24862,22,17,,6233122385551896192,236.241,-28.6684,6.93,16.1,3.3
24869,22,4,,5303962045651095808,135.5738,-57.0095,7.57,16.5,3.5
24877,22,17,,6247460738733633920,239.5785,-19.2626,6.1,14.1,2.6
24878,22,17,G,6247520627757618176,240.8696,-18.8978,6.72,14.4,2.9
24879,22,17,G,6247526228394968320,240.9096,-18.9022,6.64,13.5,2.3
24880,22,17,,6247506608984011776,240.5894,-19.035,6.88,14.6,2.9
24881,22,-1,,6247552891552073088,240.0103,-19.0453,7.69,16.4,3.4
24882,22,17,,6247523823213519232,240.9628,-18.8727,7.07,16.7,4.1
24883,22,17,G,6247533443939705984,240.7628,-18.8628,6.55,15.7,3.4
24884,22,17,,6247467335803484416,239.5849,-19.0924,6.12,15.4,3.2
24885,22,17,G,6247511316268245120,240.4584,-18.9426,6.54,16.2,3.8
24887,22,17,G,6247526675071572224,240.9134,-18.8583,6.65,14.4,2.8
24888,22,17,G,6247541621557778304,240.9073,-18.7524,6.6,13.8,2.4
24890,22,-1,,5983577913715955328,241.0717,-48.6566,7.11,17.4,4.0
24892,22,-1,,4130944217253214592,249.0891,-20.2949,7.64,17.2,4.0
24893,22,-1,,4130917073061865088,251.5157,-18.4492,7.59,14.8,3.6
24895,22,-1,,4130947859386102016,248.7761,-20.4246,7.53,13.8,3.0
24900,22,4,,5299358596621466752,140.8625,-60.6446,7.34,16.0,3.3
24901,22,4,,5300075134603438336,137.7257,-59.8368,6.74,16.6,3.5
24902,22,-1,,6040352708432370688,240.7694,-29.4883,8.35,15.9,3.5
24903,22,4,,5300076646432107648,137.7736,-59.7407,7.59,16.5,3.5
24907,22,-1,,6014950343400492928,235.4211,-34.0166,5.85,10.6,1.3
24908,22,-1,,6014916086743891584,235.1593,-34.3603,9.09,12.9,2.7
24911,22,-1,,4131003934479183104,248.5691,-20.2308,7.02,15.7,3.5
24913,22,-1,,4135726852323239168,256.7591,-17.2302,7.67,16.4,3.4
24926,22,-1,,5514821266013508480,125.5074,-50.0841,5.23,17.1,3.2
24934,22,27,,6054424116513484160,184.2535,-62.8938,8.76,13.3,2.6
24942,22,-1,,5291653184761761152,123.2271,-57.9941,8.0,15.4,2.9
24962,22,-1,,5535550667970483456,116.9143,-42.5048,5.4,16.2,3.0
24973,22,-1,,5318842595488116352,122.3541,-56.6358,9.07,14.2,2.7
24975,22,17,I,6050922588589568512,247.0707,-23.3756,7.02,15.2,3.5
24976,22,17,,6050880497909590784,247.0459,-23.6098,7.18,12.9,2.1
24977,22,17,,6050888950405097088,246.657,-23.6271,7.33,14.0,3.1
24978,22,-1,,6044664786891529472,249.4768,-26.8645,7.18,15.2,3.1
24979,22,4,,5303591544590800256,137.5235,-58.377,7.9,13.7,2.4
24980,22,-1,,6050901663508474624,246.7508,-23.4312,6.25,15.6,4.2
24981,22,17,,6050884930315861248,246.9588,-23.5156,6.96,15.4,3.5
24983,22,17,,6050896509547699200,246.8501,-23.5244,6.79,14.9,2.9
24985,22,17,I,6050905271281078400,247.2335,-23.5187,7.02,17.7,4.3
24986,22,17,I,6050869571512783488,246.7687,-23.8458,7.26,12.8,2.3
24987,22,17,,6050910871918784128,247.0955,-23.3901,7.14,17.2,3.9
24988,22,17,,6050875069070934528,246.8083,-23.7224,6.45,14.7,3.1
24989,22,17,,6050885411348239872,246.6459,-23.7618,6.73,15.9,3.8
24990,22,17,,6050931036786113536,247.175,-23.1882,7.58,17.5,4.1
24991,22,17,,6050874725473381248,246.8417,-23.757,7.37,16.7,3.6
24993,22,17,,6050870189987905664,246.8841,-23.834,6.92,17.0,4.3
24994,22,-1,,6050852803960892160,248.1479,-23.0075,7.16,15.1,3.7
24995,22,17,,6050869739013583744,246.7976,-23.8142,6.5,18.1,4.3
24997,22,17,,6050899361406000000,246.7652,-23.4531,6.78,13.1,2.4
24998,22,-1,,6050927639470826240,247.0416,-23.2424,8.68,16.2,3.4
24999,22,17,,6050875614529786752,246.72,-23.7203,7.93,10.3,1.9
25000,22,17,I,6050895783696207872,246.829,-23.5274,7.09,12.0,1.9
25008,22,27,C,6053114636894633344,185.0946,-64.3451,9.29,13.6,2.6
25009,22,4,,5303578419169195264,137.1168,-58.4529,7.32,15.6,3.0
25010,22,-1,,5303566187102489344,137.1558,-58.531,10.21,13.2,2.4
25011,22,-1,,6053129755141428608,180.7969,-65.3921,9.49,15.0,3.0
